,match_number,match_team1,match_team2,match_team1_goals,match_team2_goals,match_time,match_nature
0,16244,Israel,Scotland,2,1,11 Oct 2018,"2018-19 UEFA Nations League, Group C1"
0,16243,Faroe Islands,Azerbaijan,0,3,11 Oct 2018,"2018-19 UEFA Nations League, Group D3"
0,16242,Kosovo,Malta,3,1,11 Oct 2018,"2018-19 UEFA Nations League, Group D3"
0,16241,Wales,Spain,1,4,11 Oct 2018,Friendly International
0,16240,Turkey,Bosnia & Herzegovina,0,0,11 Oct 2018,Friendly International
0,16239,Italy,Ukraine,1,1,10 Oct 2018,Friendly International
0,16238,Albania,Jordan,0,0,10 Oct 2018,Friendly International
0,16237,England,Switzerland,1,0,11 Sep 2018,Friendly International
0,16236,Iceland,Belgium,0,3,11 Sep 2018,"2018-19 UEFA Nations League, Group A2"
0,16235,Spain,Croatia,6,0,11 Sep 2018,"2018-19 UEFA Nations League, Group A4"
0,16234,Bosnia & Herzegovina,Austria,1,0,11 Sep 2018,"2018-19 UEFA Nations League, Group B3"
0,16233,Hungary,Greece,2,1,11 Sep 2018,"2018-19 UEFA Nations League, Group C2"
0,16232,Finland,Estonia,1,0,11 Sep 2018,"2018-19 UEFA Nations League, Group C2"
0,16231,San Marino,Luxembourg,0,3,11 Sep 2018,"2018-19 UEFA Nations League, Group D2"
0,16230,Poland,Rep. of Ireland,1,1,11 Sep 2018,Friendly International
0,16229,Northern Ireland,Israel,3,0,11 Sep 2018,Friendly International
0,16228,Moldova,Belarus,0,0,11 Sep 2018,"2018-19 UEFA Nations League, Group D2"
0,16227,Andorra,Kazakhstan,1,1,10 Sep 2018,"2018-19 UEFA Nations League, Group D1"
0,16226,Serbia,Romania,2,2,10 Sep 2018,"2018-19 UEFA Nations League, Group C4"
0,16225,Montenegro,Lithuania,2,0,10 Sep 2018,"2018-19 UEFA Nations League, Group C4"
0,16224,Portugal,Italy,1,0,10 Sep 2018,"2018-19 UEFA Nations League, Group A3"
0,16223,Sweden,Turkey,2,3,10 Sep 2018,"2018-19 UEFA Nations League, Group B2"
0,16222,Scotland,Albania,2,0,10 Sep 2018,"2018-19 UEFA Nations League, Group C1"
0,16221,Kosovo,Faroe Islands,2,0,10 Sep 2018,"2018-19 UEFA Nations League, Group D3"
0,16220,Malta,Azerbaijan,1,1,10 Sep 2018,"2018-19 UEFA Nations League, Group D3"
0,16219,Russia,Czech Republic,5,1,10 Sep 2018,Friendly International
0,16218,France,Netherlands,2,1,09 Sep 2018,"2018-19 UEFA Nations League, Group A1"
0,16217,Cyprus,Slovenia,2,1,09 Sep 2018,"2018-19 UEFA Nations League, Group C3"
0,16216,Liechtenstein,Gibraltar,2,0,09 Sep 2018,"2018-19 UEFA Nations League, Group D4"
0,16215,Germany,Peru,2,1,09 Sep 2018,Friendly International
0,16214,Denmark,Wales,2,0,09 Sep 2018,"2018-19 UEFA Nations League, Group B4"
0,16213,Bulgaria,Norway,1,0,09 Sep 2018,"2018-19 UEFA Nations League, Group C3"
0,16212,Georgia,Latvia,1,0,09 Sep 2018,"2018-19 UEFA Nations League, Group D1"
0,16211,Macedonia,Armenia,2,0,09 Sep 2018,"2018-19 UEFA Nations League, Group D4"
0,16210,Ukraine,Slovakia,1,0,09 Sep 2018,"2018-19 UEFA Nations League, Group B1"
0,16209,England,Spain,1,2,08 Sep 2018,"2018-19 UEFA Nations League, Group A4"
0,16208,Estonia,Greece,0,1,08 Sep 2018,"2018-19 UEFA Nations League, Group C2"
0,16207,Luxembourg,Moldova,4,0,08 Sep 2018,"2018-19 UEFA Nations League, Group D2"
0,16206,Switzerland,Iceland,6,0,08 Sep 2018,"2018-19 UEFA Nations League, Group A2"
0,16205,Belarus,San Marino,5,0,08 Sep 2018,"2018-19 UEFA Nations League, Group D2"
0,16204,Finland,Hungary,1,0,08 Sep 2018,"2018-19 UEFA Nations League, Group C2"
0,16203,Northern Ireland,Bosnia & Herzegovina,1,2,08 Sep 2018,"2018-19 UEFA Nations League, Group B3"
0,16202,Italy,Poland,1,1,07 Sep 2018,"2018-19 UEFA Nations League, Group A3"
0,16201,Romania,Montenegro,0,0,07 Sep 2018,"2018-19 UEFA Nations League, Group C4"
0,16200,Lithuania,Serbia,0,1,07 Sep 2018,"2018-19 UEFA Nations League, Group C4"
0,16199,Turkey,Russia,1,2,07 Sep 2018,"2018-19 UEFA Nations League, Group B2"
0,16198,Albania,Israel,1,0,07 Sep 2018,"2018-19 UEFA Nations League, Group C1"
0,16197,Faroe Islands,Malta,3,1,07 Sep 2018,"2018-19 UEFA Nations League, Group D3"
0,16196,Scotland,Belgium,0,4,07 Sep 2018,Friendly International
0,16195,Azerbaijan,Kosovo,0,0,07 Sep 2018,"2018-19 UEFA Nations League, Group D3"
0,16194,Germany,France,0,0,06 Sep 2018,"2018-19 UEFA Nations League, Group A1"
