"","match_id","team1","team2","team1goals","team2goals","team1rank","team2rank","team1points","team2points","diff_goal_abs","diff_goal_ratio","diff_rank","diff_point_abs","diff_point_ratio"
"152",16904,"Portugal","Serbia",2,2,4,17,1666,1512,0,1,13,154,1.10185185185185
"153",16902,"Czech Republic","Belgium",1,1,22,1,1458,1783,0,1,-21,-325,0.817722938867078
"154",16902,"Belgium","Czech Republic",1,1,1,22,1783,1458,0,1,21,325,1.22290809327846
"155",16901,"Slovakia","Malta",2,2,19,51,1475,955,0,1,32,520,1.54450261780105
"156",16901,"Malta","Slovakia",2,2,51,19,955,1475,0,1,-32,-520,0.647457627118644
"157",16900,"Belarus","Estonia",4,2,38,45,1276,1161,2,2,7,115,1.09905254091301
"158",16900,"Estonia","Belarus",2,4,45,38,1161,1276,-2,0.5,-7,-115,0.90987460815047
"159",16899,"Netherlands","Latvia",2,0,11,49,1598,1081,2,Inf,38,517,1.47826086956522
"160",16899,"Latvia","Netherlands",0,2,49,11,1081,1598,-2,0,-38,-517,0.676470588235294
"161",16898,"Norway","Turkey",0,3,23,18,1452,1505,-3,0,-5,-53,0.964784053156146
"162",16898,"Turkey","Norway",3,0,18,23,1505,1452,3,Inf,5,53,1.03650137741047
"163",16897,"Croatia","Cyprus",1,0,10,42,1605,1240,1,Inf,32,365,1.29435483870968
"164",16897,"Cyprus","Croatia",0,1,42,10,1240,1605,-1,0,-32,-365,0.772585669781931
"165",16894,"Montenegro","Gibraltar",4,1,34,54,1368,880,3,4,20,488,1.55454545454545
"166",16894,"Gibraltar","Montenegro",1,4,54,34,880,1368,-3,0.25,-20,-488,0.64327485380117
"167",16893,"Russia","Slovenia",2,1,21,33,1462,1369,1,2,12,93,1.06793279766253
"168",16893,"Slovenia","Russia",1,2,33,21,1369,1462,-1,0.5,-12,-93,0.936388508891929
"169",16892,"Sweden","Georgia",1,0,13,40,1569,1259,1,Inf,27,310,1.2462271644162
