,match_number,match_team1,match_team2,match_team1_goals,match_team2_goals,match_time,match_nature
0,16882,Liechtenstein,Armenia,0,1,25 Mar 2021,"2022 FIFA World Cup Qualification, Group J"
0,16881,Bulgaria,Switzerland,1,3,25 Mar 2021,"2022 FIFA World Cup Qualification, Group C"
0,16880,Israel,Denmark,0,2,25 Mar 2021,"2022 FIFA World Cup Qualification, Group F"
0,16879,Gibraltar,Norway,0,3,24 Mar 2021,"2022 FIFA World Cup Qualification, Group G"
0,16878,Serbia,Rep. of Ireland,3,2,24 Mar 2021,"2022 FIFA World Cup Qualification, Group A"
0,16877,Portugal,Azerbaijan,1,0,24 Mar 2021,"2022 FIFA World Cup Qualification, Group A"
0,16876,Latvia,Montenegro,1,2,24 Mar 2021,"2022 FIFA World Cup Qualification, Group G"
0,16875,France,Ukraine,1,1,24 Mar 2021,"2022 FIFA World Cup Qualification, Group D"
0,16874,Estonia,Czech Republic,2,6,24 Mar 2021,"2022 FIFA World Cup Qualification, Group E"
0,16873,Finland,Bosnia & Herzegovina,2,2,24 Mar 2021,"2022 FIFA World Cup Qualification, Group D"
0,16872,Belgium,Wales,3,1,24 Mar 2021,"2022 FIFA World Cup Qualification, Group E"
0,16871,Malta,Russia,1,3,24 Mar 2021,"2022 FIFA World Cup Qualification, Group H"
0,16870,Cyprus,Slovakia,0,0,24 Mar 2021,"2022 FIFA World Cup Qualification, Group H"
0,16869,Slovenia,Croatia,1,0,24 Mar 2021,"2022 FIFA World Cup Qualification, Group H"
0,16868,Kosovo,Lithuania,4,0,24 Mar 2021,Friendly International
0,16867,Qatar,Luxembourg,1,0,24 Mar 2021,Friendly International
0,16866,Belarus,Honduras,1,1,24 Mar 2021,Friendly International
0,16865,Turkey,Netherlands,4,2,24 Mar 2021,"2022 FIFA World Cup Qualification, Group G"
0,16864,Panama,Serbia,0,0,28 Jan 2021,Friendly International
0,16863,Dominican Republic,Serbia,0,0,25 Jan 2021,Friendly International
0,16862,Belgium,Denmark,4,2,18 Nov 2020,"2020-21 UEFA Nations League, Group A2"
0,16861,England,Iceland,4,0,18 Nov 2020,"2020-21 UEFA Nations League, Group A2"
0,16860,Bosnia & Herzegovina,Italy,0,2,18 Nov 2020,"2020-21 UEFA Nations League, Group A1"
0,16859,Poland,Netherlands,1,2,18 Nov 2020,"2020-21 UEFA Nations League, Group A1"
0,16858,Austria,Norway,1,1,18 Nov 2020,"2020-21 UEFA Nations League, Group B1"
0,16857,Northern Ireland,Romania,1,1,18 Nov 2020,"2020-21 UEFA Nations League, Group B1"
0,16856,Czech Republic,Slovakia,2,0,18 Nov 2020,"2020-21 UEFA Nations League, Group B2"
0,16855,Rep. of Ireland,Bulgaria,0,0,18 Nov 2020,"2020-21 UEFA Nations League, Group B4"
0,16854,Wales,Finland,3,1,18 Nov 2020,"2020-21 UEFA Nations League, Group B4"
0,16853,Greece,Slovenia,0,0,18 Nov 2020,"2020-21 UEFA Nations League, Group C3"
